
 Params: N = 30 | d = 1 | type of data: harmonic| Becker/Ours CNN Avg price = 50.9705924987793 | Max Price: 122.61482238769531
 Params: N = 30 | d = 1 | type of data: real_val| Becker/Ours CNN Avg price = 27.485702514648438 | Max Price: 31.12500762939453
 Params: N = 30 | d = 1 | type of data: real_val| Becker/Ours CNN Avg price = 27.653841018676758 | Max Price: 31.294260025024414
 Params: N = 30 | d = 1 | type of data: real_val| Becker/Ours CNN Avg price = 5.168590545654297 | Max Price: 8.004396438598633
 Params: N = 200 | d = 1 | type of data: real_val| Becker/Ours CNN Avg price = 12.259594917297363 | Max Price: 20.76811981201172
 Params: N = 30 | d = 1 | type of data: real_val| Becker/Ours CNN Avg price = 4.226803779602051 | Max Price: 7.389174938201904
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker Hist Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 400 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.022292613983154 | Max Price: 19.545249938964844
 Params: N = 10 | d = 1 | type of data: dm| Becker Hist Avg price = 6.036018371582031 | Max Price: 14.333578109741211
 Params: N = 10 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.036018371582031 | Max Price: 14.333578109741211
 Params: N = 40 | d = 1 | type of data: dm| Becker Hist Avg price = 6.040481090545654 | Max Price: 17.260072708129883
 Params: N = 40 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.039905071258545 | Max Price: 17.260072708129883
 Params: N = 70 | d = 1 | type of data: dm| Becker Hist Avg price = 6.066718578338623 | Max Price: 18.110004425048828
 Params: N = 70 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.066718578338623 | Max Price: 18.110004425048828
 Params: N = 100 | d = 1 | type of data: dm| Becker Hist Avg price = 6.041437149047852 | Max Price: 18.484968185424805
 Params: N = 100 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.03701114654541 | Max Price: 18.484968185424805
 Params: N = 130 | d = 1 | type of data: dm| Becker Hist Avg price = 6.03439474105835 | Max Price: 18.722492218017578
 Params: N = 130 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.03439474105835 | Max Price: 18.722492218017578
 Params: N = 160 | d = 1 | type of data: dm| Becker Hist Avg price = 6.027718544006348 | Max Price: 18.94523048400879
 Params: N = 160 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.027589797973633 | Max Price: 18.94523048400879
 Params: N = 190 | d = 1 | type of data: dm| Becker Hist Avg price = 6.030311107635498 | Max Price: 19.079187393188477
 Params: N = 190 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.030311107635498 | Max Price: 19.079187393188477
 Params: N = 220 | d = 1 | type of data: dm| Becker Hist Avg price = 6.038474082946777 | Max Price: 19.19066619873047
 Params: N = 220 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.038358688354492 | Max Price: 19.19066619873047
 Params: N = 250 | d = 1 | type of data: dm| Becker Hist Avg price = 6.0032124519348145 | Max Price: 19.29047203063965
 Params: N = 250 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.0032124519348145 | Max Price: 19.29047203063965
 Params: N = 280 | d = 1 | type of data: dm| Becker Hist Avg price = 6.018189430236816 | Max Price: 19.364023208618164
 Params: N = 280 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.018350124359131 | Max Price: 19.364023208618164
 Params: N = 310 | d = 1 | type of data: dm| Becker Hist Avg price = 6.028918266296387 | Max Price: 19.418914794921875
 Params: N = 310 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.0293498039245605 | Max Price: 19.418914794921875
 Params: N = 340 | d = 1 | type of data: dm| Becker Hist Avg price = 6.011658668518066 | Max Price: 19.48820686340332
 Params: N = 340 | d = 1 | type of data: dm| Becker/Ours CNN Avg price = 6.011658668518066 | Max Price: 19.48820686340332
